District,Sub-district,Village
Alappuzha,Cherthala,Arookutty (Ct)
Alappuzha,Cherthala,Aroor (Ct)
Alappuzha,Cherthala,Arthunkal
Alappuzha,Cherthala,Cherthala North (Part)
Alappuzha,Cherthala,Cherthala South (Part)
Alappuzha,Cherthala,Ezhupunna (Ct)
Alappuzha,Cherthala,Kadakkarappally
Alappuzha,Cherthala,Kanjikkuzhi (Ct)
Alappuzha,Cherthala,Kodamthuruth (Ct)
Alappuzha,Cherthala,Kokkothamangalam (Ct)
Alappuzha,Cherthala,Kuthiathode (Ct)
Alappuzha,Cherthala,Mararikkulam North
Alappuzha,Cherthala,Pallippuram (Ct)
Alappuzha,Cherthala,Panavally
Alappuzha,Cherthala,Pattanakkad
Alappuzha,Cherthala,Perumbalam
Alappuzha,Cherthala,Thaikattussery (Ct)
Alappuzha,Cherthala,Thanneermukkam North(Ct)
Alappuzha,Cherthala,Thanneermukkam South
Alappuzha,Cherthala,Thuravoor Thekku
Alappuzha,Cherthala,Vayalar (Ct)
Alappuzha,Ambalappuzha,Alappuzha West
Alappuzha,Ambalappuzha,Ambalappuzha
Alappuzha,Ambalappuzha,Ambalappuzha North
Alappuzha,Ambalappuzha,Aryad South (Part)
Alappuzha,Ambalappuzha,Kalavoor
Alappuzha,Ambalappuzha,Karumady
Alappuzha,Ambalappuzha,Komalapuram (Ct)
Alappuzha,Ambalappuzha,Mannanchery (Ct)
Alappuzha,Ambalappuzha,Mullakkal (Part)
Alappuzha,Ambalappuzha,Paravoor
Alappuzha,Ambalappuzha,Pathirappally (Ct)
Alappuzha,Ambalappuzha,Pazhaveedu
Alappuzha,Ambalappuzha,Punnapra (Og)
Alappuzha,Ambalappuzha,Purakkad
Alappuzha,Kuttanad,Champakkulam
Alappuzha,Kuttanad,Edathua
Alappuzha,Kuttanad,Kainakary North
Alappuzha,Kuttanad,Kainakary South
Alappuzha,Kuttanad,Kavalam
Alappuzha,Kuttanad,Kunnumma
Alappuzha,Kuttanad,Muttar
Alappuzha,Kuttanad,Nedumudi
Alappuzha,Kuttanad,Neelamperoor
Alappuzha,Kuttanad,Pulinkunnu
Alappuzha,Kuttanad,Ramankary
Alappuzha,Kuttanad,Thakazhy
Alappuzha,Kuttanad,Thalavady
Alappuzha,Kuttanad,Veliyanad
Alappuzha,Karthikappally,Arattupuzha
Alappuzha,Karthikappally,Cheppad (Ct)
Alappuzha,Karthikappally,Cheruthana
Alappuzha,Karthikappally,Chingoli (Ct)
Alappuzha,Karthikappally,Haripad (Ct)
Alappuzha,Karthikappally,Kandalloor (Ct)
Alappuzha,Karthikappally,Karthikappally (Ct)
Alappuzha,Karthikappally,Karuvatta
Alappuzha,Karthikappally,Kayamkulam
Alappuzha,Karthikappally,Keerikkad (Ct)
Alappuzha,Karthikappally,Krishnapuram (Ct)
Alappuzha,Karthikappally,Kumarapuram (Ct)
Alappuzha,Karthikappally,Muthukulam (Ct)
Alappuzha,Karthikappally,Pallippad
Alappuzha,Karthikappally,Pathiyoor (Ct)
